iter	Passed	Remaining
0	3	3105
1	6	3327
2	9	3209
3	12	3121
4	15	3069
5	19	3226
6	23	3305
7	26	3260
8	29	3223
9	32	3212
10	35	3186
11	39	3259
12	42	3240
13	45	3217
14	48	3206
15	51	3181
16	56	3245
17	59	3219
18	62	3204
19	67	3298
20	71	3335
21	78	3495
22	81	3483
23	88	3607
24	92	3603
25	95	3592
26	99	3574
27	103	3609
28	107	3592
29	110	3577
30	113	3550
31	116	3523
32	121	3550
33	124	3543
34	128	3534
35	131	3518
36	135	3537
37	141	3570
38	147	3634
39	155	3736
40	159	3725
41	163	3728
42	168	3747
43	172	3755
44	178	3778
45	182	3787
46	185	3770
47	189	3751
48	192	3733
49	195	3716
50	200	3733
51	203	3712
52	206	3695
53	210	3682
54	215	3709
55	219	3701
56	222	3688
57	226	3673
58	231	3690
59	234	3671
60	237	3654
61	240	3638
62	244	3632
63	249	3655
64	253	3649
65	257	3637
66	260	3626
67	264	3631
68	270	3644
69	273	3632
70	276	3616
71	281	3622
72	284	3607
73	287	3593
74	291	3592
75	296	3600
76	300	3599
77	303	3589
78	309	3602
79	312	3598
80	315	3584
81	318	3570
82	321	3556
83	325	3545
84	328	3537
85	331	3524
86	334	3511
87	337	3498
88	340	3486
89	344	3481
90	347	3468
91	351	3469
92	355	3462
93	360	3478
94	366	3490
95	370	3485
96	374	3486
97	379	3493
98	383	3491
99	386	3480
100	391	3482
101	394	3471
102	397	3461
103	400	3451
104	405	3452
105	408	3446
106	412	3444
107	416	3438
108	422	3454
109	426	3448
110	431	3452
111	435	3449
112	440	3455
113	443	3446
114	446	3438
115	450	3436
116	456	3444
117	459	3435
118	462	3426
119	466	3417
120	470	3417
121	472	3399
122	476	3397
123	480	3391
124	483	3382
125	487	3384
126	490	3374
127	493	3365
128	497	3356
129	502	3364
130	505	3355
131	509	3347
132	512	3338
133	515	3331
134	519	3329
135	522	3321
136	525	3312
137	528	3303
138	536	3323
139	540	3322
140	545	3325
141	551	3331
142	554	3323
143	557	3314
144	560	3305
145	565	3304
146	569	3303
147	575	3315
148	582	3325
149	585	3320
150	588	3310
151	591	3302
152	594	3293
153	599	3291
154	602	3283
155	605	3274
156	608	3266
157	611	3258
158	615	3255
159	618	3246
160	621	3238
161	624	3232
162	628	3228
163	631	3220
164	634	3211
165	637	3204
166	640	3196
167	643	3188
168	647	3182
169	650	3174
170	653	3166
171	656	3158
172	659	3150
173	662	3146
174	666	3139
175	669	3132
176	671	3124
177	675	3117
178	678	3110
179	682	3107
180	685	3100
181	688	3093
182	692	3090
183	695	3083
184	698	3075
185	701	3068
186	704	3061
187	707	3057
188	711	3053
189	714	3046
190	717	3039
191	720	3031
192	725	3031
193	727	3024
194	730	3017
195	733	3010
196	736	3002
197	741	3004
198	744	2997
199	747	2990
200	750	2983
201	753	2977
202	757	2975
203	760	2969
204	763	2962
205	766	2955
206	770	2951
207	773	2944
208	776	2937
209	779	2931
210	783	2928
211	786	2924
212	790	2918
213	792	2912
214	795	2905
215	798	2900
